"filename", "language", "JSON with Comments", "Markdown", "JSON", "YAML", "TypeScript", "PowerShell", "JavaScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\web\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\web\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\docker-compose.yml", "YAML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 5, 49
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\infra\docker-compose.yml", "YAML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\core\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\core\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\core\src\scheduling\index.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 9, 4, 27
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\core\tsconfig.json", "JSON with Comments", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\embed-widget\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\embed-widget\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\observability\package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\observability\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\pouch-sync\package.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\pouch-sync\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\schema\package.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\schema\src\index.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 8, 19, 122
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\schema\tsconfig.json", "JSON with Comments", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\testing\package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\testing\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\ui\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\ui\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\workflows\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\packages\workflows\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\pnpm-workspace.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\test-auth-endpoints.ps1", "PowerShell", 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 24, 51, 401
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\test-booking-api.ps1", "PowerShell", 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 52, 55, 421
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\tsconfig.base.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\vitest.config.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 167, 4877, 417, 111, 8033, 640, 58, 3398, 27, 132, 1083, 3112, 22055
